log,raw_MB,csv_MB,rows,dur_s,segments,modes,spd_max,thr_min,thr_max,rud_absmax,nsats_min
00000006.BIN,60.8,0.385,8188,818.7,1,0/1/10,1.29,-0.13,0.19,1.0,10
00000007.BIN,2.7,0.016,354,35.3,1,0,5.99,0.0,0.41,0.48,17
00000008.BIN,4.9,0.031,652,65.1,1,0,4.48,0.0,0.41,0.92,17
00000009.BIN,2.8,0.018,369,36.8,1,0,1.64,0.0,0.26,1.0,17
00000010.BIN,10.9,0.072,1442,144.1,1,0,4.84,0.0,0.41,0.73,16
00000011.BIN,34.5,0.208,4628,462.7,1,0,1.44,-0.41,0.34,1.0,15
00000012.BIN,11.7,0.078,1554,155.3,1,0/1,1.48,-0.33,0.3,1.0,15
00000013.BIN,3.8,0.023,507,50.6,1,0/1,1.61,0.0,0.27,0.38,16
00000014.BIN,3.6,0.027,486,48.5,1,0/1,2.44,-0.4,0.42,1.0,16
00000015.BIN,3.5,0.027,478,47.7,1,1,2.23,-0.39,0.4,1.0,15
00000016.BIN,16.4,0.114,2334,233.3,1,0/1,2.63,-0.43,0.41,0.35,15
00000017.BIN,8.9,0.061,1346,134.5,1,0,1.41,0.0,0.24,0.67,16
00000018.BIN,16.2,0.11,2288,228.7,1,0,2.62,0.0,0.41,1.0,15
00000019.BIN,15.3,0.11,2030,202.9,1,0/1,4.27,-0.5,0.42,1.0,14
00000020.BIN,9.2,0.07,1333,133.2,1,1,2.09,-0.5,0.42,1.0,16
00000021.BIN,6.2,0.046,824,82.3,1,1,2.11,-0.5,0.41,1.0,16
00000022.BIN,4.7,0.035,711,71.0,1,1,1.53,0.0,0.0,0.29,16
